product,scrambled
infliximab biosimilar renflexis,prod36
otezla,prod37
gevokizumab,prod38
kyntheum,prod39
etanercept biosimilar nos,prod40
rituximab biosimilar nos,prod41
other orals,prod42
enbrel,prod43
cosentyx,prod44
flixabi,prod18
sirukumab,prod19
etanercept biosimilar brenzys,prod20
humira non-comm,prod21
amgevita,prod22
raptiva,prod23
olumiant,prod24
tildrakizumab,prod25
simponi,prod26
adalimumab biosimilar nos,prod45
mabthera,prod46
ozanimod,prod47
filgotinib (jak),prod48
kineret,prod49
other competitors,prod50
imraldi,prod27
infliximab biosimilar nos,prod28
skyrizi,prod29
cimzia,prod30
remsima,prod31
remicade,prod32
mirikizumab,prod33
orencia,prod34
benepali,prod35
hulio,prod0
rinvoq,prod1
tysabri,prod2
stelara,prod3
infliximab biosimilar flammegis,prod4
smyraf,prod5
xeljanz,prod6
entyvio,prod7
etrolizumab,prod8
roactemra,prod9
hyrimoz,prod10
inflectra,prod11
taltz,prod12
tremfya,prod13
amevieve,prod14
humira,prod15
sarilumab,prod16
bimekizumab,prod17
